team,event,gymnast1_score,gymnast2_score,gymnast3_score,gymnast4_score,gymnast5_score,event_total
LSU,vault,9.95,9.825,9.8375,9.9125,9.875,49.4
LSU,bars,9.875,9.8875,9.9,9.8875,9.9,49.45
LSU,beam,9.95,9.95,9.95,9.95,9.9625,49.7625
LSU,floor,9.9375,9.9125,9.9125,9.925,9.925,49.6125
California,vault,9.8625,9.9375,9.95,9.9,9.85,49.5
California,bars,9.8875,9.9125,9.8875,9.9125,9.9,49.5
California,beam,9.8875,9.95,9.9,9.875,9.8625,49.475
California,floor,9.8625,9.9125,9.9125,9.825,9.8625,49.375
Utah,vault,9.9125,9.9,9.9,9.9125,9.675,49.3
Utah,bars,9.95,9.875,9.9,9.85,9.8625,49.4375
Utah,beam,9.875,9.9375,9.9125,9.9,9.85,49.475
Utah,floor,9.925,9.925,9.925,9.9,9.9125,49.5875
Florida,vault,9.875,9.9125,9.85,9.8,9.8125,49.25
Florida,bars,9.8625,9.9,9.875,9.8875,9.95,49.475
Florida,beam,9.95,9.9,9.85,9.6625,9.875,49.2375
Florida,floor,9.8625,9.8875,9.9125,9.8625,9.95,49.475
