team,event,gymnast1_score,gymnast2_score,gymnast3_score,gymnast4_score,gymnast5_score,event_total
Oklahoma,vault,9.875,9.9875,9.9,9.9125,9.95,49.625
Oklahoma,bars,9.9,9.9125,9.85,9.9375,9.85,49.45
Oklahoma,beam,9.9375,9.9625,9.875,9.9,9.9375,49.6125
Oklahoma,floor,9.8875,9.9375,9.95,9.95,9.925,49.65
Oklahoma,total,NA,NA,NA,NA,NA,198.3375
LSU,vault,9.85,9.8875,9.9125,9.8375,9.8875,49.375
LSU,bars,9.9,9.8375,9.95,9.875,9.9,49.4625
LSU,beam,9.8875,9.8875,9.875,9.8625,9.95,49.4625
LSU,floor,9.9,9.85,9.95,9.95,9.875,49.525
LSU,total,NA,NA,NA,NA,NA,197.825
UCLA,vault,9.9125,9.8875,9.95,9.875,9.8,49.425
UCLA,bars,9.9,9.85,9.8625,9.8625,9.95,49.425
UCLA,beam,9.9125,9.9,9.85,9.8,9.925,49.3875
UCLA,floor,9.825,9.75,9.95,9.9125,9.8625,49.3
UCLA,total,NA,NA,NA,NA,NA,197.5375
Denver,vault,9.8625,9.7625,9.8625,9.9125,9.8125,49.2125
Denver,bars,9.85,9.8625,9.8125,9.8875,9.825,49.2375
Denver,beam,9.8625,9.8875,9.9375,9.8375,9.825,49.35
Denver,floor,9.9375,9.7625,9.8375,9.8375,9.825,49.2
Denver,total,NA,NA,NA,NA,NA,197
