team,event,gymnast1_score,gymnast2_score,gymnast3_score,gymnast4_score,gymnast5_score,event_total
Michigan,vault,9.975,9.9375,9.975,9.8875,9.875,49.65
Michigan,bars,9.925,9.8625,9.9125,9.8625,9.925,49.4875
Michigan,beam,9.9625,9.9875,9.925,9.85,9.7625,49.4875
Michigan,floor,9.9125,9.95,9.9125,9.9375,9.9125,49.625
Michigan,total,NA,NA,NA,NA,NA,198.25
Oklahoma,vault,9.85,9.95,9.875,9.9375,9.9625,49.575
Oklahoma,bars,9.9125,9.9375,9.9375,9.875,9.9,49.5625
Oklahoma,beam,9.875,9.8875,9.9,9.9,9.925,49.4875
Oklahoma,floor,9.8875,9.9,9.85,9.9625,9.9375,49.5375
Oklahoma,total,NA,NA,NA,NA,NA,198.1625
Utah,vault,9.8375,9.8,9.825,9.9875,9.9375,49.3875
Utah,bars,9.8625,9.8375,9.8875,9.9375,9.9,49.425
Utah,beam,9.9,9.9375,9.9375,9.9375,9.9875,49.7
Utah,floor,9.8625,9.875,9.925,9.925,9.8875,49.475
Utah,total,NA,NA,NA,NA,NA,197.9875
Florida,vault,9.825,9.8875,9.8625,9.8625,9.925,49.3625
Florida,bars,9.8875,9.8875,9.85,9.9375,9.9,49.4625
Florida,beam,9.925,9.8875,9.9125,9.8625,9.175,48.7625
Florida,floor,9.9,9.85,9.95,9.9,9.95,49.55
Florida,total,NA,NA,NA,NA,NA,197.1375
