team,event,gymnast1_score,gymnast2_score,gymnast3_score,gymnast4_score,gymnast5_score,event_total
Oklahoma,vault,9.9,9.8875,9.9,9.925,9.95,49.5625
Oklahoma,bars,9.925,9.925,9.9125,9.925,9.95,49.6375
Oklahoma,beam,9.9125,9.95,9.85,9.9,9.9,49.5125
Oklahoma,floor,9.95,9.9375,9.95,9.9125,9.925,49.675
Oklahoma,total,NA,NA,NA,NA,NA,198.3875
Florida,vault,9.875,9.9,9.8875,10,9.9125,49.575
Florida,bars,9.925,9.975,9.925,9.9125,9.975,49.7125
Florida,beam,9.9,9.9,9.9375,9.875,9.9125,49.525
Florida,floor,9.9,9.8625,9.9,9.8875,9.875,49.425
Florida,total,NA,NA,NA,NA,NA,198.2375
Utah,vault,9.9,9.8125,9.7625,9.8375,9.8375,49.15
Utah,bars,9.875,9.875,9.9375,9.925,9.9375,49.55
Utah,beam,9.9125,9.95,9.9125,10,9.9625,49.7375
Utah,floor,9.875,9.9,9.9,9.9,9.925,49.5
Utah,total,NA,NA,NA,NA,NA,197.9375
LSU,vault,9.9,9.8875,9.9875,9.8625,9.8875,49.525
LSU,bars,9.95,9.825,9.825,9.8375,9.875,49.3125
LSU,beam,9.825,9.85,9.925,9.825,9.8125,49.2375
LSU,floor,9.8125,9.925,9.9375,9.925,9.85,49.45
LSU,total,NA,NA,NA,NA,NA,197.525
